Counter, Generator, Power Output, Load, Objective Function
        1.00,g1          ,       28.00,      281.00,    84037.85
        1.00,g2          ,       90.00,      281.00,    84037.85
        1.00,g3          ,       68.00,      281.00,    84037.85
        1.00,g4          ,       76.00,      281.00,    84037.85
        1.00,g5          ,       19.00,      281.00,    84037.85
        2.00,g1          ,       67.39,      352.70,   105758.02
        2.00,g2          ,       90.00,      352.70,   105758.02
        2.00,g3          ,       68.00,      352.70,   105758.02
        2.00,g4          ,       76.00,      352.70,   105758.02
        2.00,g5          ,       51.31,      352.70,   105758.02
        3.00,g1          ,      112.63,      424.40,   147715.94
        3.00,g2          ,       90.00,      424.40,   147715.94
        3.00,g3          ,       83.98,      424.40,   147715.94
        3.00,g4          ,       84.79,      424.40,   147715.94
        3.00,g5          ,       53.00,      424.40,   147715.94
        4.00,g1          ,      136.77,      496.10,   203091.65
        4.00,g2          ,      101.55,      496.10,   203091.65
        4.00,g3          ,      101.86,      496.10,   203091.65
        4.00,g4          ,      102.93,      496.10,   203091.65
        4.00,g5          ,       53.00,      496.10,   203091.65
        5.00,g1          ,      158.94,      567.80,   268132.17
        5.00,g2          ,      117.97,      567.80,   268132.17
        5.00,g3          ,      118.28,      567.80,   268132.17
        5.00,g4          ,      119.60,      567.80,   268132.17
        5.00,g5          ,       53.00,      567.80,   268132.17
        6.00,g1          ,      181.12,      639.50,   342712.41
        6.00,g2          ,      134.40,      639.50,   342712.41
        6.00,g3          ,      134.71,      639.50,   342712.41
        6.00,g4          ,      136.28,      639.50,   342712.41
        6.00,g5          ,       53.00,      639.50,   342712.41
        7.00,g1          ,      203.29,      711.20,   426832.36
        7.00,g2          ,      150.82,      711.20,   426832.36
        7.00,g3          ,      151.14,      711.20,   426832.36
        7.00,g4          ,      152.95,      711.20,   426832.36
        7.00,g5          ,       53.00,      711.20,   426832.36
        8.00,g1          ,      206.00,      782.90,   522137.81
        8.00,g2          ,      173.71,      782.90,   522137.81
        8.00,g3          ,      174.02,      782.90,   522137.81
        8.00,g4          ,      176.18,      782.90,   522137.81
        8.00,g5          ,       53.00,      782.90,   522137.81
        9.00,g1          ,      206.00,      854.60,   631691.67
        9.00,g2          ,      201.85,      854.60,   631691.67
        9.00,g3          ,      189.00,      854.60,   631691.67
        9.00,g4          ,      204.75,      854.60,   631691.67
        9.00,g5          ,       53.00,      854.60,   631691.67
       10.00,g1          ,      206.00,      926.30,   760550.50
       10.00,g2          ,      237.44,      926.30,   760550.50
       10.00,g3          ,      189.00,      926.30,   760550.50
       10.00,g4          ,      240.86,      926.30,   760550.50
       10.00,g5          ,       53.00,      926.30,   760550.50
       11.00,g1          ,      206.00,      998.00,   911044.09
       11.00,g2          ,      284.00,      998.00,   911044.09
       11.00,g3          ,      189.00,      998.00,   911044.09
       11.00,g4          ,      266.00,      998.00,   911044.09
       11.00,g5          ,       53.00,      998.00,   911044.09
